director,mean_gross,mean_budget,number_of_movies,profit_ratio
"Aaron Blaise,Robert Walker",85329248,1.28e+08,2,0.66663475
Aaron Harvey,1887,7e+06,1,0.000269571428571429
Aaron J. Wiederspahn,23054,1e+06,1,0.023054
Aaron Russo,61200,1e+06,1,0.0612
Aaron Schneider,9176553,7500000,1,1.2235404
"Aaron Seltzer,Jason Friedberg",48546578,2e+07,2,2.4273289
Aaron Woodley,15979,4e+06,1,0.00399475
Abe Sylvia,53630,4e+06,2,0.0134075
Adam McKay,90842873.8,62800000,5,1.44654257643312
Adam Rapp,101228,3500000,2,0.0289222857142857
Adam Rodgers,49953,2500000,1,0.0199812
Adam Shankman,89503615.8333333,56500000,6,1.58413479351032
Adam Sherman,6106,1e+07,2,0.0006106
Adam Wingard,12423712,2333333.33333333,4,5.32444800000001
Adrian Lyne,52752475,5e+07,1,1.0550495
Adrienne Shelly,19067631,2e+06,1,9.5338155
Agnieszka Holland,352786,1.1e+07,1,0.0320714545454545
Agnieszka Wojtowicz-Vosloo,108229,4500000,1,0.0240508888888889
Akiva Goldsman,22451,6e+07,1,0.000374183333333333
Akiva Schaffer,24135647,6.8e+07,2,0.354935985294118
Alan Parker,16316200,37500000,2,0.435098666666667
Alan Poul,37481242,3.5e+07,1,1.07089262857143
Alan Taylor,206360018,1.7e+08,1,1.21388245882353
Albert Brooks,887416,1e+07,1,0.0887416
"Albert Hughes,Allen Hughes",52673107.6666667,5e+07,3,1.05346215333333
Alejandro Agresti,52320979,4e+07,1,1.308024475
Alejandro Amenábar,96471845,1.7e+07,1,5.67481441176471
Alejandro G. Iñárritu,31796485.25,2.2e+07,4,1.44529478409091
Alejandro Monteverde,8108247,3300000,2,2.45704454545455
Alex Gibney,523534.5,1e+06,5,0.5235345
Alex Holdridge,172177,25000,1,6.88708
Alex Kendrick,28167646,1150000,4,24.4936052173913
Alex Kurtzman,12412386,1.6e+07,1,0.775774125
Alex Proyas,112371731.5,8.5e+07,2,1.32202037058824
Alex Rivera,75727,2500000,3,0.0302908
"Alex Smith,Andrew J. Smith",13134,5e+05,1,0.026268
Alexander Bulkley,44785,1e+06,2,0.044785
Alexander Payne,56164875.1666667,17666666.6666667,6,3.17914387735849
Alexander Witt,50740078,4.5e+07,1,1.12755728888889
Alexandre Aja,12583776,2.4e+07,2,0.524324
Alexis Lloyd,14686,1e+06,1,0.014686
Alfonso Cuarón,186243368.666667,1.02e+08,3,1.82591537908497
Alfredo Rodriguez de Villa,7502429,6e+06,5,1.25040483333333
Alister Grierson,23070045,3e+07,1,0.7690015
Allen Wolf,28841,1e+06,1,0.028841
Amy Heckerling,5156651.33333333,17333333.3333333,3,0.297499115384616
Anand Tucker,12561,1.9e+07,1,0.000661105263157895
Anders Anderson,7306,2e+06,2,0.003653
Andrew Adamson,148606577.666667,202500000,3,0.733859642798356
"Andrew Adamson,Kelly Asbury",436471036,1.5e+08,1,2.90980690666667
"Andrew Adamson,Vicky Jenson",267652016,6e+07,1,4.46086693333333
Andrew Davis,54119291.3333333,58333333.3333333,3,0.92775928
Andrew Dominik,9421776,22500000,2,0.4187456
"Andrew Erwin,Jon Erwin",7047133.66666667,5e+06,3,1.40942673333333
Andrew Fleming,12729736.25,18750000,4,0.678919266666667
Andrew Niccol,19659316.2,43333333.3333333,5,0.453676527692308
Andrew Stanton,148432784,221850000,2,0.669068217263917
"Andrew Stanton,Lee Unkrich",380838870,9.4e+07,1,4.05147734042553
"Andrew Wilson,Luke Wilson",127144,8e+06,1,0.015893
Andrzej Bartkowiak,35821900,33200000,5,1.07897289156627
Andy Cadiff,12189514,2.3e+07,1,0.529978869565217
Andy Cheng,6877133,2.6e+07,1,0.264505115384615
Andy Fickman,58879108.4,30400000,5,1.93681277631579
Andy Garcia,2483955,9600000,2,0.2587453125
Andy Tennant,104953522,6e+07,3,1.74922536666667
Ang Lee,86892122.25,75250000,4,1.15471258803987
Angela Robinson,33049398.5,17840000,3,1.85254475896861
Angelina Jolie Pitt,57952642.5,26166666.6666667,3,2.21475066878981
"Anna Boden,Ryan Fleck",3715990,8e+06,4,0.46449875
Anne Fletcher,85780846.5,30500000,4,2.8124867704918
Annette Haywood-Carter,36746,5e+06,1,0.0073492
"Anthony Bell,Ben Gluck",25077977,2e+07,1,1.25389885
Anthony Burns,11108,3e+06,3,0.00370266666666667
Anthony Hemingway,49875589,5.8e+07,1,0.859923948275862
Anthony Leondis,19528188,2.5e+07,1,0.78112752
Anthony Minghella,48280787,7.9e+07,2,0.611149202531646
"Anthony Russo,Joe Russo",111895084.666667,78666666.6666667,3,1.4223951440678
Antoine Fuqua,52608636,56875000,9,0.924987006593407
Anton Corbijn,26416735.5,17500000,4,1.50952774285714
Arie Posin,49526,6800000,1,0.00728323529411765
Ariel Vromen,1939441,7500000,2,0.258592133333333
Armand Mastroianni,1036886,1e+07,1,0.1036886
Asger Leth,18600911,4.2e+07,1,0.442878833333333
Atom Egoyan,3074838,1.1e+07,2,0.279530727272727
Audrey Wells,43601508,1.8e+07,1,2.422306
Austin Chick,11762,3400000,1,0.00345941176470588
Ava DuVernay,26072015,6750000,3,3.86252074074074
Baltasar Kormákur,47355251.6666667,3.2e+07,3,1.47985161458333
Barbet Schroeder,31874869,5e+07,1,0.63749738
Barry Jenkins,110869,13000,1,8.52838461538462
Barry Levinson,12697026.75,20200000,5,0.628565680693069
Barry Sonnenfeld,112025995,117500000,4,0.953412723404255
Bart Freundlich,6110133,9666666.66666667,4,0.632082724137931
Baz Luhrmann,101099582.5,78750000,2,1.28380422222222
Ben Affleck,96128087.25,36250000,4,2.65180930344828
Ben Coccio,7221,20000,1,0.36105
Ben Falcone,84518155,2e+07,1,4.22590775
Ben Lewin,5997134,1e+06,1,5.997134
Ben Stassen,14532946,2.5e+07,1,0.58131784
Ben Stiller,84322911,9.1e+07,2,0.926625395604396
Ben Younger,19833102,8e+06,2,2.47913775
Benh Zeitlin,12784397,1800000,1,7.10244277777778
Bennett Miller,38816454,2.7e+07,3,1.43764644444444
Benny Boom,10017041,5500000,2,1.82128018181818
Bent Hamer,808221,1e+06,2,0.808221
Bette Gordon,22878,1e+06,2,0.022878
Betty Thomas,99219525,45333333.3333333,3,2.18866599264706
"Bibo Bergeron,Don Paul",50802661,9.5e+07,1,0.534764852631579
"Bibo Bergeron,Vicky Jenson",160762022,7.5e+07,1,2.14349362666667
"Bill Boyce,John Stronach",938232,1e+07,1,0.0938232
Bill Condon,138076414.2,67800000,5,2.03652528318584
Bill Duke,10572742,8e+06,1,1.32159275
Bille Woodruff,28534595,18333333.3333333,4,1.55643245454546
Billy Bob Thornton,7770750.5,5.7e+07,2,0.136328956140351
Billy Ray,12458263.3333333,6e+06,3,2.07637722222222
Blair Hayes,5002310,1.3e+07,1,0.384793076923077
Blair Treu,405182,2500000,1,0.1620728
Bo Welch,100446895,1.09e+08,1,0.921531146788991
Boaz Yakin,56563598,26666666.6666667,3,2.121134925
Bob Clark,9109322,2e+07,1,0.4554661
Bob Dolman,21664518.5,1e+07,2,2.16645185
Bob Odenkirk,2757370.5,1e+07,2,0.27573705
"Bobby Farrelly,Peter Farrelly",49708126.2,4.8e+07,10,1.0355859625
Brad Anderson,10595849.8,8625000,6,1.22850432463768
Brad Bird,235401249.5,118500000,2,1.98650843459916
Brad Furman,57981889,26933333.3333333,3,2.15279290841584
Brad Gann,6900,3e+06,1,0.0023
Brad Peyton,73693978.5,8.2e+07,2,0.898707054878049
Brad Silberling,43732896.25,8.7e+07,4,0.502676968390805
Brandon Camp,22927390,1.8e+07,2,1.27374388888889
Breck Eisner,39103378,2e+07,1,1.9551689
"Brendan Malloy,Emmett Malloy",13903262,1.1e+07,1,1.26393290909091
Brett Ratner,118533840.5,101375000,8,1.16926106535142
Brian Baugh,3773863,1e+06,2,3.773863
Brian De Palma,11291706,27500000,2,0.410607490909091
Brian Hecker,53760,2e+06,1,0.02688
Brian Helgeland,52915018.6666667,47666666.6666667,3,1.11010528671329
"Brian Klugman,Lee Sternthal",11434867,6e+06,1,1.90581116666667
"Brian Koppelman,David Levien",7996484,1.5e+07,2,0.533098933333333
Brian Levant,55738101.5,38750000,5,1.43840261935484
Brian Percival,21483154,1.9e+07,2,1.13069231578947
Brian Robbins,52361563,48500000,6,1.0796198556701
Brooks Branch,28943,2500000,1,0.0115772
Bruce Beresford,539896,2.5e+07,3,0.02159584
Bruce Campbell,173066,1500000,2,0.115377333333333
Bruce Hendricks,42220854.5,7e+06,2,6.03155064285714
Bruce Hunt,14888028,3e+07,1,0.4962676
Bruce McCulloch,13973532,2.5e+07,1,0.55894128
Bruce Paltrow,4734235,1.5e+07,1,0.315615666666667
Bruce Robinson,13100042,4.5e+07,2,0.291112044444444
Bruno Barreto,15589458,3e+07,1,0.5196486
Bryan Barber,12549485,1.5e+07,1,0.836632333333333
Bryan Bertino,52534295,1e+07,2,5.2534295
Bryan Gunnar Cole,13800,2e+06,1,0.0069
Bryan Singer,159080370.166667,1.44e+08,6,1.10472479282408
Burr Steers,47643393.5,3.2e+07,2,1.488856046875
"Byron Howard,Chris Williams",114053579,1.5e+08,1,0.760357193333333
C. Jay Cox,557271.666666667,733333.333333333,3,0.75991590909091
Cal Brunker,57011847,4e+07,1,1.425296175
Callie Khouri,45127693.5,24500000,2,1.84194667346939
Cam Archer,9089,83833.3333333333,3,0.108417495029821
Cameron Crowe,33859360,58500000,4,0.578792478632479
"Carl Deal,Tia Lessin",519981,9e+05,1,0.577756666666667
Carl Franklin,41117920.3333333,47333333.3333333,3,0.868688457746479
Carl Rinsch,38297305,1.75e+08,2,0.218841742857143
Carlos Saldanha,156828055.333333,9.1e+07,3,1.72338522344322
"Carlos Saldanha,Mike Thurmeier",196573705,9e+07,1,2.18415227777778
Carroll Ballard,860002,1.2e+07,1,0.0716668333333333
Carter Smith,17427926,8e+06,2,2.17849075
Casper Andreas,20398.5,125000,7,0.163188
Catherine Hardwicke,56465619.8,27100000,5,2.08360220664207
"Cathy Malkasian,Jeff McGrath",39880476,2.5e+07,1,1.59521904
"Chad Stahelski,David Leitch",42996986,2e+07,1,2.1498493
Chan-wook Park,1702277,1.2e+07,2,0.141856416666667
Charles Ferguson,2871009.5,2e+06,2,1.43550475
Charles Herman-Wurmfeld,3732789,925000,4,4.03544756756757
Charles Martin Smith,57149586.5,36500000,2,1.56574209589041
Charles Robert Carner,4131640,7500000,1,0.550885333333333
Charles Shyer,13395939,6e+07,1,0.22326565
Charles Stone III,39099232,2.5e+07,2,1.56396928
Charlie Kaufman,3081925,2.1e+07,1,0.146758333333333
Charlie McDowell,511635,1e+05,1,5.11635
"Chris Buck,Jennifer Lee",400736600,1.5e+08,2,2.67157733333333
"Chris Butler,Sam Fell",55994557,6e+07,1,0.933242616666667
Chris Carter,20981633,3e+07,1,0.699387766666667
Chris Columbus,142432335.4,75600000,5,1.8840256005291
Chris Eska,74494,35000,1,2.1284
Chris Fisher,181,4e+06,2,4.525e-05
Chris Gorak,10745803.5,3e+07,4,0.35819345
Chris Kentis,30500882,5e+05,2,61.001764
Chris Mason Johnson,16812.6666666667,250000,3,0.0672506666666668
Chris Miller,149234747,1.3e+08,2,1.14795959230769
"Chris Miller,Raman Hui",320706665,1.6e+08,1,2.00441665625
Chris Paine,1677838,1e+06,1,1.677838
"Chris Renaud,Kyle Balda",213949505,7e+07,1,3.0564215
Chris Rock,25205343.6666667,23600000,3,1.06802303672317
Chris Sivertson,7233485,1.2e+07,1,0.602790416666667
Chris Stokes,40066497,8e+06,1,5.008312125
Chris Wedge,107515297,1e+08,1,1.07515297
"Chris Wedge,Carlos Saldanha",128200012,7.5e+07,1,1.70933349333333
Chris Weitz,122820490.666667,8e+07,3,1.53525613333334
"Chris Weitz,Paul Weitz",64172251,3e+07,1,2.13907503333333
Christian Alvart,13248477,2.7e+07,1,0.490684333333333
Christian Duguay,30199105,22666666.6666667,3,1.33231345588235
Christian E. Christiansen,18652173,11500000,2,1.62192808695652
Christine Jeffs,12055108,8e+06,1,1.5068885
Christopher Guest,12081637,9e+06,2,1.34240411111111
Christopher Landon,32453345,5e+06,3,6.490669
Christopher McQuarrie,43040749.5,34250000,2,1.2566642189781
Christopher Nolan,226653447,125625000,8,1.80420654328358
Christopher Spencer,59696176,2.2e+07,1,2.71346254545455
Chuck Russell,59857924,5e+07,2,1.19715848
Chuck Workman,15528,813505,1,0.0190877745066103
Ciarán Foy,27736779,1e+07,1,2.7736779
Clare Kilner,14108518,1.2e+07,3,1.17570983333333
Clark Gregg,2926565,3e+06,1,0.975521666666667
Clark Johnson,76461288,7e+07,2,1.09230411428571
Clint Eastwood,85391645.5,50566666.6666667,12,1.68869437376401
"Cody Cameron,Kris Pearn",119793567,7.8e+07,2,1.53581496153846
"Colin Strause,Greg Strause",31584245.5,2.5e+07,2,1.26336982
Colin Trevorrow,4007792,750000,1,5.34372266666667
Corey Yuen,480314,2.1e+07,1,0.0228720952380952
"Cory Edwards,Todd Edwards",51053787,17500000,2,2.91735925714286
Courtney Hunt,2508841,1e+06,1,2.508841
Courtney Solomon,15927111,24333333.3333333,3,0.654538808219179
Craig Brewer,41920903.3333333,18666666.6666667,3,2.24576267857142
Craig Gillespie,20232100.3333333,22333333.3333333,3,0.905914940298507
"Craig Gillespie,David Dobkin",25769067,2.2e+07,1,1.17132122727273
Craig M. Saavedra,9626,650000,1,0.0148092307692308
Craig Mazin,25871834,3.5e+07,1,0.739195257142857
Craig McCracken,11411644,1.1e+07,1,1.03742218181818
Craig Zobel,152899.666666667,270000,3,0.566295061728396
Curtis Hanson,36100938.4,51500000,5,0.700989095145631
D.J. Caruso,48745987.8333333,35571428.5714286,7,1.37036913587684
Dagur Kári,19959,3800000,2,0.00525236842105263
Daisy von Scherler Mayer,3034181,1.1e+07,1,0.275834636363636
Damien Chazelle,13092000,3300000,1,3.96727272727273
Damien Dante Wayans,25615792,2.5e+07,1,1.02463168
"Dan Cutforth,Jane Lipsitz",25240988,1.2e+07,1,2.10341566666667
Dan Gildark,15213,750000,1,0.020284
Dan Gilroy,32279955,8500000,1,3.79764176470588
Dan Harris,228524,4e+06,1,0.057131
Dan Scanlon,268488329,2e+08,1,1.342441645
Dana Adam Shapiro,20202,5e+06,1,0.0040404
Daniel Adams,184149,6833333.33333333,3,0.0269486341463415
Daniel Algrant,121972,2.2e+07,2,0.00554418181818182
Daniel Barnz,10506308.3333333,13666666.6666667,6,0.768754268292679
Daniel Espinosa,63677895,67500000,2,0.943376222222222
Daniel Myrick,95,2900000,3,3.27586206896552e-05
Daniel Sackheim,17951431,3e+07,1,0.598381033333333
Daniel Schechter,261695,1.2e+07,2,0.0218079166666667
Daniel Stamm,20499594.5,2900000,2,7.06882568965517
Daniel Waters,23563,5e+06,1,0.0047126
Danny Boyle,16486358,26500000,5,0.622126716981132
Danny Cannon,4280577,1e+07,1,0.4280577
Danny DeVito,9003907.5,47500000,2,0.189555947368421
Danny Leiner,9187618,4750000,4,1.93423536842105
"Danny Pang,Oxide Chun Pang",25327256.5,2.8e+07,2,0.904544875
Darnell Martin,8134217,1.2e+07,1,0.677851416666667
Darren Aronofsky,45722432.3333333,31583333.3333333,6,1.44767595778364
Darren Grant,50382128,5500000,1,9.16038690909091
Darren Lynn Bousman,140244,10166666.6666667,4,0.0137944918032786
"Dave Borthwick,Jean Duval",7382993,2e+07,1,0.36914965
Dave Filoni,35154336,8500000,1,4.13580423529412
Dave Green,38916903,1.3e+07,1,2.99360792307692
Dave McKean,864959,4e+06,1,0.21623975
Dave Meyers,16366370,1e+07,1,1.636637
David Anspaugh,375474,15500000,2,0.0242241290322581
David Atkins,2025238,6e+06,2,0.337539666666667
David Ayer,40901433.5,32500000,4,1.25850564615385
David Bowers,40413962.6666667,3.6e+07,3,1.12261007407407
"David Bowers,Sam Fell",64459316,1.49e+08,1,0.432612859060403
David Brooks,2034,3e+06,2,0.000678
"David Bruckner,Dan Bush",597420,50000,1,11.9484
David Chase,607327,2e+07,1,0.03036635
David Cronenberg,16318770.6666667,23500000,3,0.694415773049647
David DeCoteau,1529,1e+06,1,0.001529
David Dobkin,91340041.25,47333333.3333333,4,1.92971918133803
David Duchovny,371081,6e+06,2,0.0618468333333333
David Fincher,103836101.333333,75666666.6666667,6,1.37228327753303
David Frankel,116612985.666667,5e+07,3,2.33225971333334
David G. Evans,2428241,2e+05,2,12.141205
David Gelb,25799043,3300000,1,7.81789181818182
David Gordon Green,17644695.25,17480000,8,1.00942192505721
David Koepp,27090288,31666666.6666667,3,0.855482778947367
David L. Cunningham,8791738,29500000,2,0.298025016949153
David Lynch,7219578,1.5e+07,2,0.4813052
David M. Evans,1158779,5e+06,3,0.2317558
David Mamet,3605653.6,20125000,5,0.179162911801242
David McNally,63760630.5,52500000,2,1.2144882
"David Moreau,Xavier Palud",31397498,1.2e+07,1,2.61645816666667
"David Nixon,Patrick Doughtie",2848578,3500000,1,0.813879428571429
David O. Russell,92148222.2857143,27857142.8571429,7,3.3078849025641
David Oliveras,5343,1200000,1,0.0044525
"David Palmer,Dax Shepard",13746550,2e+06,1,6.873275
David R. Ellis,26437400.5,2.9e+07,2,0.9116345
David Raynr,8735529,1.5e+07,1,0.5823686
David S. Goyer,38534624.3333333,3.7e+07,3,1.04147633333333
David Silverman,183132370,7.5e+07,2,2.44176493333333
David Sington,1134049,2e+06,1,0.5670245
David Slade,113700023.666667,33650000,3,3.37890114908371
David Soren,83024900,1.35e+08,1,0.614999259259259
David Twohy,25922125.1666667,4.5e+07,6,0.576047225925927
David Von Ancken,413877,1.8e+07,1,0.0229931666666667
David Wain,28340423.1666667,16562500,6,1.71111988930818
David Yates,322645639.666667,137500000,3,2.34651374303031
David Zucker,62791798.8,32800000,5,1.9143841097561
Davis Guggenheim,7088733.66666667,16500000,7,0.429620222222222
Dean DeBlois,176997107,1.45e+08,1,1.22066970344828
"Dean DeBlois,Chris Sanders",181579762,122500000,2,1.48228377142857
Dean Israelite,22331028,1.2e+07,1,1.860919
Dean Parisot,53215979,8.4e+07,1,0.63352355952381
Deb Hagan,4693919,6500000,1,0.722141384615385
Deborah Kampmeier,128092,3750000,2,0.0341578666666667
Debra Granik,6531491,2e+06,1,3.2657455
Demian Lichtenstein,15738632,4.2e+07,1,0.374729333333333
Denis Villeneuve,60962878,4.6e+07,1,1.32527995652174
Dennie Gordon,25698854.6666667,22566666.6666667,3,1.13879710487445
Dennis Dugan,96358313,73600000,6,1.30921620923913
Dennis Iliadis,32721635,1.5e+07,1,2.18144233333333
Dennis Lee,36884,8e+06,1,0.0046105
Denzel Washington,25652144.5,13750000,2,1.86561050909091
Deon Taylor,143000,3500000,2,0.0408571428571429
Derek Cianfrance,15542428.5,9250000,2,1.68026254054054
Dermot Mulroney,1378,1200000,1,0.00114833333333333
Derrick Borte,1474508,5e+06,2,0.2949016
Des McAnuff,26000610,7.6e+07,1,0.342113289473684
"Diane Crespo,Stefan C. Schaefer",16506,120000,1,0.13755
Diane English,26896744,16500000,1,1.6301056969697
Diane Keaton,36037909,6e+07,1,0.600631816666667
Diego Luna,5550866,1e+07,1,0.5550866
"Dinesh D'Souza,John Sullivan",33349949,2500000,2,13.3399796
Dito Montiel,5903332.25,1.5e+07,4,0.393555483333333
DJ Pooh,10097096,4e+06,1,2.524274
Dominic Sena,51627026.5,61250000,4,0.842890228571429
"Don Hall,Chris Williams",222487711,1.65e+08,1,1.34841036969697
Don Handfield,204068,5e+06,1,0.0408136
Don Mancini,17016190,1.2e+07,2,1.41801583333333
Don Michael Paul,15361537,1.3e+07,2,1.18165669230769
Don Roos,12703838,3.5e+07,3,0.3629668
Don Scardino,22525921,3e+07,1,0.750864033333333
Donald Petrie,52648808.8571429,32571428.5714286,7,1.61641079824561
Doug Ellin,32361416,3e+07,1,1.07871386666667
Doug Liman,84536815.6666667,81166666.6666667,6,1.04152134291581
Douglas McGrath,5394822.5,18500000,2,0.291612027027027
Drake Doremus,16255,5e+05,4,0.03251
Drew Barrymore,13034417,1.5e+07,1,0.868961133333333
Drew Goddard,42043633,3e+07,1,1.40145443333333
Duncan Jones,54696902,3.2e+07,1,1.7092781875
Duncan Tucker,9013113,1e+06,1,9.013113
"Dwight H. Little,John Blush",31526393,2.5e+07,1,1.26105572
E. Elias Merhige,8495790.5,17500000,2,0.485473742857143
E.L. Katz,59379,2e+05,1,0.296895
Ed Decter,28972187,1.3e+07,1,2.22862976923077
Ed Harris,14401958.5,6e+06,2,2.40032641666667
Ed Solomon,209151,7500000,1,0.0278868
Edgar Wright,28748709.5,4e+07,2,0.7187177375
Edward Anderson,1925,2400000,1,0.000802083333333333
Edward Burns,4397,1086333.33333333,4,0.00404756060141149
Edward Zwick,41839101.2857143,54714285.7142857,7,0.764683313315927
"Efram Potelle,Kyle Rankin",279282,1e+06,1,0.279282
Ekachai Uekrongtham,162,9e+06,1,1.8e-05
Eli Roth,34004,2500000,1,0.0136016
Élie Chouraqui,233520,2.4e+07,1,0.00973
Elizabeth Allen Rosenbaum,22378561,13500000,2,1.65767118518519
"Elizabeth Banks,Steven Brill",8828771,6e+06,1,1.47146183333333
Ellory Elkayem,17266505,14100000,3,1.22457482269504
Emilio Estevez,7817574.5,1.4e+07,2,0.558398178571429
Eran Creevy,6787,8500000,1,0.000798470588235294
"Eric Bress,J. Mackye Gruber",23947,1.3e+07,1,0.00184207692307692
Eric Brevig,100935564,62500000,2,1.614969024
"Eric Darnell,Simon J. Smith",83348920,1.32e+08,1,0.631431212121212
"Eric Darnell,Tom McGrath",196495473.333333,123333333.333333,3,1.59320654054054
Eric England,3328,70000,2,0.0475428571428571
Eric Nicholas,10018,1e+06,1,0.010018
Erick Zonca,2110,6e+06,1,0.000351666666666667
Ericson Core,57789574,4e+07,1,1.44473935
Erik Van Looy,5981749,1.4e+07,1,0.427267785714286
Ernest R. Dickerson,6476165.5,9500000,2,0.681701631578947
Ernie Barbarash,8691,6900000,5,0.0012595652173913
"Ethan Coen,Joel Coen",69584418.7777778,25222222.2222222,9,2.75885360792952
Evan Glodell,167242,17000,1,9.83776470588235
"Evan Goldberg,Seth Rogen",101470202,3.2e+07,1,3.1709438125
F. Gary Gray,68550874,48666666.6666667,3,1.40857960273973
"Fatih Akin,Yvan Attal",1585859,14700000,1,0.10788156462585
"Fenton Bailey,Randy Barbato",296665,5e+06,1,0.059333
Fina Torres,5018450,8e+06,1,0.62730625
Fisher Stevens,2221963,1.5e+07,3,0.148130866666667
Florent-Emilio Siri,34636443,5.2e+07,1,0.666085442307692
Floria Sigismondi,3571735,1e+07,1,0.3571735
Florian Henckel von Donnersmarck,67631157,1e+08,1,0.67631157
Forest Whitaker,9055010,3e+07,1,0.301833666666667
Franc. Reyes,17504595,3500000,1,5.00131285714286
"Francesca Gregorini,Tatiana von Furstenberg",5005,3e+06,1,0.00166833333333333
Francine McDougall,13276953,1.1e+07,1,1.20699572727273
Francis Ford Coppola,372065,5800000,5,0.0641491379310345
Francis Glebas,23073611,3.5e+07,1,0.659246028571429
Francis Lawrence,203808199.75,104500000,4,1.95031770095694
Franck Khalfoun,2002591,7e+06,2,0.286084428571429
Frank Coraci,66655199.2,68400000,6,0.974491216374269
Frank Darabont,26694337,4.5e+07,2,0.593207488888889
Frank Marshall,81593527,4e+07,1,2.039838175
Frank Miller,19781879,6e+07,2,0.329697983333333
"Frank Miller,Robert Rodriguez",13750556,6.5e+07,1,0.211547015384615
Frank Nissen,18081626,1.4e+07,2,1.29154471428571
Frank Oz,59475623,9e+07,1,0.660840255555556
Fred Durst,5761485,1.4e+07,2,0.411534642857143
Fred Savage,13235267,6e+06,1,2.20587783333333
Fred Wolf,20454701,21666666.6666667,3,0.944063123076922
Gabe Torres,4330,5e+05,1,0.00866
Gabor Csupo,82234139,1.7e+07,1,4.83730229411765
Gabriele Muccino,41526483,4.5e+07,2,0.922810733333333
Galt Niederhoffer,103280,4500000,1,0.0229511111111111
Gareth Edwards,200661309,1.6e+08,1,1.25413318125
Garry Marshall,73639152.5,43500000,6,1.69285408045977
Garth Jennings,51019112,5e+07,1,1.02038224
Gary David Goldberg,43894863,3e+07,1,1.4631621
Gary Fleder,24340099.6666667,4.2e+07,6,0.579526182539683
Gary Ross,264073350,82500000,2,3.20088909090909
Gary Shore,55942830,7e+07,1,0.799183285714286
"Gary Trousdale,Kirk Wise",84037039,1.2e+08,1,0.700308658333333
Gary Winick,42675293.3333333,19460000,6,2.19297499143542
Gavin Hood,78215257.5,99375000,4,0.787071773584906
Gavin O'Connor,31244076,27666666.6666667,3,1.12930395180723
Genndy Tartakovsky,148313048,8.5e+07,2,1.74485938823529
"Geoff Moore,David Posamentier",72273,5e+06,1,0.0144546
Geoffrey Sax,19056922.3333333,3e+07,3,0.635230744444443
George A. Romero,952620,2e+06,2,0.47631
George Armitage,6471394,5e+07,1,0.12942788
George Clooney,45423646.75,34333333.3333333,6,1.32301883737864
George Gallo,723714,20800000,5,0.0347939423076923
George Hickenlooper,1654367,7e+06,1,0.236338142857143
George Lucas,345469069,1.14e+08,2,3.03043042982456
"George Miller,Warren Coleman",197992827,1e+08,1,1.97992827
