director,mean_gross,mean_budget,number_of_movies
Daniel Myrick,95,2900000,3
Daniel Patrick Carbone,NaN,NaN,1
Daniel Sackheim,17951431,3e+07,1
Daniel Schechter,261695,1.2e+07,2
Daniel Stamm,20499594.5,2900000,2
Daniel Taplitz,11827301,NaN,1
Daniel Waters,23563,5e+06,1
Danny Boyle,16486358,26500000,5
Danny Buday,NaN,NaN,1
Danny Cannon,4280577,1e+07,1
Danny DeVito,9003907.5,47500000,2
Danny Draven,NaN,NaN,1
Danny Leiner,9187618,4750000,4
"Danny Pang,Oxide Chun Pang",25327256.5,2.8e+07,2
Dante Ariola,NaN,NaN,1
Dario Piana,NaN,4400000,3
Darius Clark Monroe,NaN,NaN,1
Darnell Martin,8134217,1.2e+07,1
"Darrell Rooney,Jeannine Roussel",NaN,NaN,1
Darren Aronofsky,45722432.3333333,31583333.3333333,6
Darren Grant,50382128,5500000,1
"Darren Grodsky,Danny Jacobs",81364,NaN,1
Darren Lynn Bousman,140244,10166666.6666667,4
Darren Stein,NaN,NaN,1
Daryl Wein,131708.5,NaN,2
Daryn Tufts,NaN,NaN,1
"Dave Borthwick,Jean Duval",7382993,2e+07,1
Dave Boyle,92918,NaN,1
Dave Bullock,NaN,3500000,1
Dave Filoni,35154336,8500000,1
Dave Green,38916903,1.3e+07,1
Dave Grohl,422417,NaN,1
Dave Kim,NaN,NaN,1
Dave McKean,864959,4e+06,1
Dave Meyers,16366370,1e+07,1
Dave Parker,NaN,NaN,1
Dave Snyder,NaN,30000,1
David Anspaugh,375474,15500000,2
David Arquette,20840,NaN,2
David Atkins,2025238,6e+06,2
David Au,NaN,NaN,1
David Ayer,40901433.5,32500000,4
David Barrett,NaN,10400000,1
David Bokser,NaN,1000,2
David Bowers,40413962.6666667,3.6e+07,3
"David Bowers,Sam Fell",64459316,1.49e+08,1
David Brooks,2034,3e+06,2
"David Bruckner,Dan Bush",597420,50000,1
David Carson,NaN,2e+07,1
David Chase,607327,2e+07,1
"David Clark,Bayley Silleck",NaN,NaN,1
David Cronenberg,16318770.6666667,23500000,3
David DeCoteau,1529,1e+06,1
David Dobkin,91340041.25,47333333.3333333,4
David Douglas,10659604,NaN,1
David Duchovny,371081,6e+06,2
David E. Talbert,37931869,NaN,1
David Fincher,103836101.333333,75666666.6666667,6
David France,122665,NaN,1
David Frankel,116612985.666667,5e+07,3
David G. Evans,2428241,2e+05,2
David Gelb,25799043,3300000,1
David Gordon Green,17644695.25,17480000,8
David Gregory,NaN,1e+06,1
David Grovic,48817,NaN,1
David Guy Levy,NaN,NaN,1
David Hackl,NaN,1e+07,1
David Harrison,NaN,12000,1
"David Hillenbrand,Scott Hillenbrand",NaN,NaN,1
David Hollander,NaN,NaN,1
David Jacobson,NaN,NaN,2
David Kendall,145450,NaN,1
David Kittredge,NaN,NaN,2
David Koepp,27090288,31666666.6666667,3
David L. Cunningham,8791738,29500000,2
David LaChapelle,3278611,NaN,1
"David Leaf,John Scheinfeld",1102937,NaN,1
David Lebrun,NaN,1e+06,1
David Lee Miller,NaN,2e+06,2
David Lickley,24833997,NaN,2
David Lynch,7219578,1.5e+07,2
David M. Evans,1158779,5e+06,3
David M. Rosenthal,NaN,3e+06,1
David M. Young,NaN,NaN,1
David Mackay,NaN,NaN,1
David Mackenzie,249590,NaN,1
David Mamet,3605653.6,20125000,5
David McNally,63760630.5,52500000,2
"David Molina,Terry Shakespeare",NaN,5200000,2
"David Moreau,Xavier Palud",31397498,1.2e+07,1
David Moreton,29452,NaN,2
David Nelson,NaN,5e+06,1
"David Nixon,Patrick Doughtie",2848578,3500000,1
David O. Russell,92148222.2857143,27857142.8571429,7
David O'Reilly,NaN,NaN,1
David Oliveras,5343,1200000,1
David Ondaatje,NaN,NaN,1
"David Palmer,Dax Shepard",13746550,2e+06,1
"David Pastor,Àlex Pastor",90820,NaN,1
David Petrarca,NaN,5e+06,1
David Prior,NaN,NaN,2
David R. Ellis,26437400.5,2.9e+07,2
David Raynr,8735529,1.5e+07,1
David Redmon,NaN,NaN,1
"David Redmon,Ashley Sabin",21154,NaN,1
David Ren,NaN,1100000,1
"David Ridgen,Nicolas Rossier",NaN,NaN,1
David Riker,NaN,NaN,1
David Robert Mitchell,39001,NaN,2
David Ross,40677,NaN,1
David S. Goyer,38534624.3333333,3.7e+07,3
"David Salzberg,Christian Tureaud",311975,NaN,1
David Seltzer,NaN,NaN,1
David Silverman,183132370,7.5e+07,2
David Sington,1134049,2e+06,1
David Slade,113700023.666667,33650000,3
David Soren,83024900,1.35e+08,1
David Thorpe,57000,NaN,1
David Twohy,25922125.1666667,4.5e+07,6
David Von Ancken,413877,1.8e+07,1
David Wain,28340423.1666667,16562500,6
David Weinstein,NaN,NaN,1
David Worth,NaN,NaN,2
David Yates,322645639.666667,137500000,3
David Zellner,621127,NaN,1
David Zucker,62791798.8,32800000,5
Davis Guggenheim,7088733.66666667,16500000,7
Deagol Brothers,NaN,150000,1
Dean DeBlois,176997107,1.45e+08,1
"Dean DeBlois,Chris Sanders",181579762,122500000,2
"Dean Hamer,Joe Wilson",NaN,180000,1
Dean Israelite,22331028,1.2e+07,1
Dean Matthew Ronalds,NaN,725000,1
Dean Parisot,53215979,8.4e+07,1
Deb Hagan,4693919,6500000,1
Deborah Kampmeier,128092,3750000,2
Debra Granik,6531491,2e+06,1
Declan O'Brien,NaN,NaN,1
Dee Rees,758099,NaN,2
Delaney Bishop,NaN,21000,1
Demian Lichtenstein,15738632,4.2e+07,1
Denis Henry Hennelly,NaN,NaN,1
Denis Villeneuve,60962878,4.6e+07,1
Dennie Gordon,25698854.6666667,22566666.6666667,3
Dennis Dimster,NaN,3e+06,2
Dennis Dortch,6141,NaN,1
Dennis Dugan,96358313,73600000,6
Dennis Fallon,NaN,NaN,2
Dennis Iliadis,32721635,1.5e+07,1
Dennis Lee,36884,8e+06,1
Denny Tedesco,800521,NaN,1
Denzel Washington,25652144.5,13750000,2
Deon Taylor,143000,3500000,2
Derek Cianfrance,15542428.5,9250000,2
Derick Martini,NaN,4250000,4
Dermot Mulroney,1378,1200000,1
Derrick Borte,1474508,5e+06,2
Des McAnuff,26000610,7.6e+07,1
Desmond Nakano,NaN,NaN,1
Destin Daniel Cretton,1010414,NaN,2
Diane Bell,NaN,5e+05,1
"Diane Crespo,Stefan C. Schaefer",16506,120000,1
Diane English,26896744,16500000,1
Diane Keaton,36037909,6e+07,1
Diego Luna,5550866,1e+07,1
Dimitri Logothetis,NaN,NaN,1
"Dinesh D'Souza,John Sullivan",33349949,2500000,2
Dito Montiel,5903332.25,1.5e+07,4
DJ Pooh,10097096,4e+06,1
Dolph Lundgren,NaN,4e+06,3
"Dominic Howes,Joel Weber",NaN,NaN,1
Dominic Sena,51627026.5,61250000,4
Don Argott,299634,NaN,2
Don Coscarelli,141307,NaN,1
Don E. FauntLeRoy,NaN,1.2e+07,1
Don Hahn,80172,NaN,2
"Don Hall,Chris Williams",222487711,1.65e+08,1
Don Handfield,204068,5e+06,1
"Don Kempf,James D. Stern",18642318,NaN,1
Don Mancini,17016190,1.2e+07,2
Don Michael Paul,15361537,1.3e+07,2
Don Roos,12703838,3.5e+07,3
Don Roy King,NaN,NaN,1
Don Scardino,22525921,3e+07,1
Don Was,NaN,NaN,1
Donald Petrie,52648808.8571429,32571428.5714286,7
Donald Wrye,NaN,NaN,1
"Dong-Wook Lee,Tommy Yune",NaN,NaN,2
Donovan Cook,NaN,NaN,1
Doug Atchison,18811135,NaN,1
Doug Ellin,32361416,3e+07,1
Doug Liman,84536815.6666667,81166666.6666667,6
Doug Pray,NaN,NaN,1
Douglas Buck,NaN,5e+06,1
Douglas Langway,NaN,NaN,1
Douglas McGrath,5394822.5,18500000,2
Drake Doremus,16255,5e+05,4
Drew Ann Rosenberg,NaN,2e+05,1
Drew Barrymore,13034417,1.5e+07,1
"Drew Daywalt,David Schneider",NaN,5e+06,1
Drew Goddard,42043633,3e+07,1
Drew Maxwell,NaN,NaN,1
Drew Thomas,NaN,NaN,1
Dror Soref,53723,NaN,1
Duncan Jones,54696902,3.2e+07,1
Duncan Roy,NaN,NaN,1
Duncan Tucker,9013113,1e+06,1
Dustin Lance Black,6915,NaN,1
Dwayne Carey-Hill,NaN,NaN,1
Dwight H. Little,NaN,3e+07,1
"Dwight H. Little,John Blush",31526393,2.5e+07,1
Dylan Avery,NaN,27500,2
Dylan Kidd,718084.5,NaN,2
E. Elias Merhige,8495790.5,17500000,2
E.L. Katz,59379,2e+05,1
Ed Decter,28972187,1.3e+07,1
Ed Harris,14401958.5,6e+06,2
Ed Solomon,209151,7500000,1
Eddie O'Flaherty,NaN,NaN,1
Edgar Wright,28748709.5,4e+07,2
"Edith Becker,Kevin Burns",NaN,NaN,1
"Edna Luise Biesold,Sarah-Violet Bliss",NaN,NaN,1
"Eduardo Quiroz,Jose Quiroz",NaN,NaN,1
Eduardo Rodriguez,NaN,3e+06,1
Eduardo Sánchez,NaN,1e+06,3
Edward Anderson,1925,2400000,1
Edward Burns,4397,1086333.33333333,4
Edward Gunawan,NaN,5000,1
Edward Neumeier,NaN,9e+06,1
Edward Zwick,41839101.2857143,54714285.7142857,7
"Efram Potelle,Kyle Rankin",279282,1e+06,1
Ekachai Uekrongtham,162,9e+06,1
Eldar Rapaport,NaN,NaN,1
Eli Craig,223615,NaN,1
Eli Roth,34004,2500000,1
Élie Chouraqui,233520,2.4e+07,1
Elijah Drenner,4584,NaN,1
Elizabeth Allen Rosenbaum,22378561,13500000,2
"Elizabeth Banks,Steven Brill",8828771,6e+06,1
Elizabeth Canner,47622,NaN,1
Elizabeth Harrison,NaN,5e+05,1
"Ellen Kuras,Thavisouk Phrasavath",NaN,NaN,1
"Ellen Seidler,Megan Siler",NaN,NaN,1
Ellie Kanner,NaN,NaN,2
Ellory Elkayem,17266505,14100000,3
Emilio Estevez,7817574.5,1.4e+07,2
Emily Young,NaN,9e+06,1
Emmett Malloy,NaN,NaN,2
Enda McCallion,NaN,3500000,1
Eran Creevy,6787,8500000,1
"Eric Bress,J. Mackye Gruber",23947,1.3e+07,1
Eric Brevig,100935564,62500000,2
Eric Bricker,96354,NaN,2
Eric Bross,NaN,3e+06,2
Eric Byler,NaN,NaN,1
"Eric Darnell,Simon J. Smith",83348920,1.32e+08,1
"Eric Darnell,Tom McGrath",196495473.333333,123333333.333333,3
Eric England,3328,70000,2
"Eric England,Nick Everhart",NaN,NaN,1
Eric Hayden,NaN,NaN,1
Eric Heisserer,NaN,4e+06,1
Eric Law Anderson,NaN,NaN,1
Eric Nicholas,10018,1e+06,1
Eric Schaeffer,20289,NaN,1
Eric Valette,NaN,1.3e+07,1
Erick Zonca,2110,6e+06,1
Ericson Core,57789574,4e+07,1
Erik Gernand,NaN,NaN,1
Erik MacArthur,NaN,NaN,1
Erik Skjoldbjærg,NaN,9e+06,1
Erik Van Looy,5981749,1.4e+07,1
Erik White,24708699,NaN,1
Ernest R. Dickerson,6476165.5,9500000,2
Ernie Barbarash,8691,6900000,5
Errol Morris,1212018,NaN,5
"Ethan Coen,Joel Coen",69584418.7777778,25222222.2222222,9
Ethan Hawke,213752.666666667,NaN,3
Ethan Spaulding,NaN,NaN,2
Eugene Jarecki,363215,NaN,2
Éva Gárdos,850023,NaN,1
Evan Glodell,167242,17000,1
"Evan Goldberg,Seth Rogen",101470202,3.2e+07,1
Evan Leong,259932,NaN,1
Everett Lewis,NaN,NaN,3
F. Gary Gray,68550874,48666666.6666667,3
"Fatih Akin,Yvan Attal",1585859,14700000,1
Fay Ann Lee,NaN,NaN,2
"Fenton Bailey,Randy Barbato",296665,5e+06,1
Fernanda Cardoso,NaN,NaN,1
Fernando Meirelles,33565375,NaN,1
Filippo Conz,NaN,NaN,1
Fina Torres,5018450,8e+06,1
Fiona Mackenzie,NaN,30000,1
Fisher Stevens,2221963,1.5e+07,3
Florent-Emilio Siri,34636443,5.2e+07,1
Floria Sigismondi,3571735,1e+07,1
Florian Henckel von Donnersmarck,67631157,1e+08,1
Forest Whitaker,9055010,3e+07,1
Fouad Mikati,NaN,NaN,1
Franc. Reyes,17504595,3500000,1
"Francesca Gregorini,Tatiana von Furstenberg",5005,3e+06,1
Francine McDougall,13276953,1.1e+07,1
Francis Ford Coppola,372065,5800000,5
Francis Glebas,23073611,3.5e+07,1
Francis Lawrence,203808199.75,104500000,4
Franck Khalfoun,2002591,7e+06,2
"François Alaux,Hervé de Crécy",NaN,NaN,1
François Girard,NaN,NaN,1
François Velle,NaN,5e+06,1
Frank A. Cappello,NaN,NaN,1
Frank Coraci,66655199.2,68400000,6
Frank Darabont,26694337,4.5e+07,2
Frank E. Flowers,136823,NaN,1
Frank Gladstone,31826,NaN,1
Frank Hall Green,NaN,NaN,1
Frank Lin,NaN,NaN,1
Frank Marshall,81593527,4e+07,1
Frank Miller,19781879,6e+07,2
"Frank Miller,Robert Rodriguez",13750556,6.5e+07,1
Frank Nissen,18081626,1.4e+07,2
"Frank O'Connor,Shinji Aramaki",NaN,NaN,1
Frank Oz,59475623,9e+07,1
Fred Durst,5761485,1.4e+07,2
Fred Savage,13235267,6e+06,1
Fred Schepisi,2166206,NaN,1
Fred Wolf,20454701,21666666.6666667,3
Frederick Wiseman,52584.5,NaN,2
Frederik Du Chau,49186871,NaN,1
Fredrik Bond,7973,NaN,1
Fruit Chan,NaN,NaN,1
Gabe Polsky,694600,NaN,1
Gabe Torres,4330,5e+05,1
Gabor Csupo,82234139,1.7e+07,1
Gabriel Cowan,NaN,3e+05,1
Gabriela Cowperthwaite,2063312,NaN,1
Gabriele Muccino,41526483,4.5e+07,2
Galt Niederhoffer,103280,4500000,1
Gareth Edwards,200661309,1.6e+08,1
Garry Marshall,73639152.5,43500000,6
Garth Jennings,51019112,5e+07,1
Gary David Goldberg,43894863,3e+07,1
Gary Fleder,24340099.6666667,4.2e+07,6
Gary Hustwit,8668,NaN,2
Gary Jones,NaN,2e+06,3
Gary Leva,NaN,NaN,8
Gary Ross,264073350,82500000,2
Gary Shore,55942830,7e+07,1
"Gary Trousdale,Kirk Wise",84037039,1.2e+08,1
Gary Winick,42675293.3333333,19460000,6
Gavin Hood,78215257.5,99375000,4
Gavin O'Connor,31244076,27666666.6666667,3
Gavin Wiesen,1429260,NaN,1
Geefwee Boedoe,NaN,NaN,3
"Geeta Gandbhir,Perri Peltz",NaN,NaN,1
"Geeta Patel,Ravi Patel",1691439,NaN,1
Genndy Tartakovsky,148313048,8.5e+07,2
Geo Santini,NaN,NaN,1
Geoff Hamby,NaN,NaN,1
"Geoff Moore,David Posamentier",72273,5e+06,1
Geoffrey Fletcher,NaN,8e+06,1
Geoffrey Haley,NaN,NaN,1
Geoffrey Sax,19056922.3333333,3e+07,3
George A. Pappy Jr.,NaN,1200000,1
George A. Romero,952620,2e+06,2
George Armitage,6471394,5e+07,1
George Bamber,152810,NaN,1
George Bessudo,NaN,2500000,2
George Butler,10399670,NaN,1
George C. Wolfe,41840908,NaN,2
George Casey,NaN,NaN,1
George Clooney,45423646.75,34333333.3333333,6
George Gallo,723714,20800000,5
George Hickenlooper,1654367,7e+06,1
George Lucas,345469069,1.14e+08,2
"George Miller,Warren Coleman",197992827,1e+08,1
George Nolfi,62453315,50200000,1
George Ratliff,252968.5,9e+06,2
George Tillman Jr.,27342571.5,25333333.3333333,4
George VanBuskirk,NaN,3e+06,1
Georgia Lee,NaN,NaN,2
Gia Coppola,750100,NaN,1
Giancarlo Tallarico,NaN,NaN,1
Gil Cates Jr.,NaN,NaN,1
Gil Junger,33422806,5e+07,3
Gil Kenan,42982797.6666667,5.5e+07,3
Gil Kofman,NaN,NaN,2
Gilles Paquet-Brenner,NaN,13333333.3333333,3
Gillian Greene,NaN,NaN,1
Gillian Robespierre,3122616,NaN,1
Gina Kim,13720,3500000,1
Gina Prince-Bythewood,26606770.6666667,1.1e+07,3
Gini Reticker,78986,NaN,1
Gino Nichele,NaN,NaN,1
Giorgio Serafini,NaN,1.3e+07,1
Glasgow Phillips,NaN,NaN,1
Glen Morgan,11543718.5,15500000,2
"Glenn Ficarra,John Requa",43140221.5,31500000,2
Glenn Gaylord,NaN,NaN,1
Glenn McQuaid,7066,750000,2
"Gloria La Morte,Paola Mendoza",NaN,NaN,1
Godfrey Reggio,101196.5,3e+06,2
Gonzalo López-Gallego,17683670,5e+06,1
Goran Dukic,104077,1e+06,2
Gordon Chan,22108977,4.1e+07,2
Gore Verbinski,196398316.111111,157666666.666667,9
Gorman Bechard,NaN,NaN,1
Grace Lee,NaN,1e+06,1
"Graham Annable,Anthony Stacchi",50807639,6e+07,1
Graham Travis,NaN,NaN,1
Grant Heslov,32416109,2.5e+07,1
Greg Berlanti,27551911,19500000,4
Greg Coolidge,28435406,1.2e+07,2
Greg Francis,NaN,NaN,1
Greg Franklin,NaN,NaN,1
Greg Harrison,191309,150000,1
Greg Ivan Smith,NaN,8000,1
"Greg Jacobs,Jon Siskel",40362,NaN,1
Greg Jardin,NaN,NaN,1
Greg MacGillivray,14438754,8600000,5
"Greg MacGillivray,Glen Pitre",NaN,NaN,1
Greg Marcks,500154,6e+06,2
Greg Mottola,26698389.5,4e+07,2
Greg Pritikin,71305,NaN,2
Greg Richardson,NaN,NaN,2
Greg Whiteley,NaN,NaN,1
Gregg Araki,172942.6,NaN,5
Gregg Bishop,NaN,NaN,1
"Gregg Godfrey,Jeremy Rawle",3376905,NaN,1
Gregg Helvey,NaN,NaN,1
"Gregg Kavet,Andy Robin",12706,NaN,1
Gregor Jordan,NaN,15750000,4
Gregory Hoblit,37558746.3333333,3.3e+07,3
Gregory Jacobs,9798767.33333333,6e+06,3
Grégory Levasseur,2753312,6500000,1
Gregory McClatchy,NaN,3500000,1
Gregory Nava,NaN,2.1e+07,1
Gregory Orr,NaN,NaN,1
Gregory Poirier,13558739,1.1e+07,1
Gren Wells,NaN,NaN,1
"Greta Gerwig,Joe Swanberg",2902,NaN,1
Griff Furst,NaN,NaN,1
Griffin Dunne,85410,NaN,4
Guillermo Arriaga,200399,2e+07,1
Guillermo del Toro,79555102,98750000,4
Gus Van Sant,12573161.5,16812500,10
Guy Ferland,14140215,2.5e+07,1
Guy Jenkin,NaN,1.2e+07,1
Guy Moshe,95396,17666666.6666667,3
Guy Ritchie,194226942.333333,113333333.333333,3
Hal Hartley,126242,NaN,3
Hal Masonberg,NaN,NaN,1
"Halder Gomes,Gerson Sanginitto",NaN,NaN,1
Hans Canosa,379122,450000,1
Hans Petter Moland,442612,6e+06,1
Hany Abu-Assad,NaN,15500000,1
Harald Zwart,56224394,57500000,5
Harmony Korine,14123773,5e+06,1
Harold Becker,45207112,5.3e+07,1
Harold Cronk,60753735,2e+06,1
Harold Ramis,30539645.75,4.6e+07,4
Harris Goldberg,NaN,3300000,1
"Harry Elfont,Deborah Kaplan",14252830,2.2e+07,1
Hart Bochner,NaN,625000,2
Harvey Glazer,4500147,NaN,1
Harvey Kahn,NaN,NaN,1
Hayley Cloake,NaN,2200000,1
Heather E. Connell,NaN,150000,2
Hector Echavarria,NaN,NaN,1
"Heidi Ewing,Alex Gibney",100675,3e+06,2
"Heidi Ewing,Rachel Grady",628851.5,NaN,2
Heitor Dhalia,11653123,NaN,1
Helen Hunt,3735303,3500000,2
"Henriette Mantel,Steve Skrovan",175237,NaN,1
Henrik Ruben Genz,NaN,NaN,1
Henry Alex Rubin,1435950,1e+07,1
"Henry Alex Rubin,Dana Adam Shapiro",1523883,1750211,1
Henry Bean,406035,1500000,2
Henry Bromell,NaN,1e+06,1
Henry Hobson,131175,8500000,1
"Henry Joost,Ariel Schulman",28559597,5e+06,2
Henry Miller,5912,NaN,1
Henry Saine,NaN,NaN,1
Henry Selick,40344787.5,67500000,3
Herschell Gordon Lewis,NaN,NaN,1
Hideo Nakata,75888270,NaN,1
Hilary Brougher,25073,NaN,1
"Hironobu Sakaguchi,Motonori Sakakibara",32131830,1.37e+08,1
Ho Yim,35938,5e+06,1
Hossein Amini,506067,NaN,1
Howard Deutch,26737630.6666667,43333333.3333333,3
Howard E. Baker,NaN,NaN,1
"Howard E. Baker,Arish Fyzee",NaN,NaN,1
"Howard E. Baker,John Fox",NaN,1e+07,1
Howard Hall,40632155,NaN,2
Howard McCain,160641,5e+07,2
Howard Michael Gould,NaN,NaN,1
Howie Askins,NaN,12464,2
"Howy Parkins,Brenda Piluso",NaN,NaN,1
Hoyt Yeatman,119420252,1.5e+08,1
Huck Botko,NaN,NaN,1
"Huck Botko,Andrew Gurland",535249,3400000,1
Hue Rhodes,100669,3800000,2
Hugh Hudson,6543194,3.4e+07,1
Hunter Richards,12667,NaN,1
Hyung-rae Shim,163591,13400000,1
Iain Softley,33135787.25,52750000,4
Ian Cheney,9600,NaN,1
Ian Iqbal Rashid,7070459,NaN,1
Ian Kammer,NaN,NaN,1
"Ian Soroka,Nico Soultanakis",NaN,NaN,1
Ian Wolfley,NaN,NaN,1
"Ice-T,Andy Baybutt",288312,NaN,2
Igor Kovalyov,NaN,NaN,1
"Ilisa Barbash,Lucien Castaing-Taylor",206728,NaN,1
Ira Sachs,1377928.5,8500000,5
Irena Salina,NaN,5e+05,1
Irwin Winkler,15561627,1.8e+07,1
Isaac Feder,NaN,NaN,1
Isaac Florentine,NaN,7500000,4
Isaac Webb,NaN,NaN,1
Isabel Coixet,3577210,1.3e+07,1
Ishai Setton,NaN,NaN,1
Israel Horovitz,4011530,5e+06,1
István Szabó,7739049,1.8e+07,1
Ivan Reitman,40073602.25,4e+07,4
"J. Michael Straczynski,Sara Barnes",NaN,NaN,1
J.B. Rogers,75306764,27500000,2
J.C. Chandor,5907264.25,10375000,4
J.C. Khoury,NaN,NaN,1
J.J. Abrams,186704452.25,1.35e+08,4
J.M. Kenny,NaN,NaN,1
J.S. Cardone,NaN,NaN,1
J.T. Petty,NaN,NaN,1
J.T. Tepnapa,NaN,5e+05,3
Jac Schaeffer,NaN,NaN,2
Jack Heller,NaN,NaN,1
Jack Messitt,NaN,1e+06,1
Jack Perez,NaN,1550000,3
Jack Plotnick,NaN,NaN,1
Jackie Earle Haley,NaN,7e+06,1
Jacob Aaron Estes,603943,5e+05,1
Jacob Kornbluth,1205079,NaN,1
Jake Goldberger,NaN,NaN,2
Jake Kasdan,31004949.4285714,29600000,7
Jake Paltrow,NaN,NaN,1
Jake Schreier,3325638,2500000,1
Jake Scott,152857,NaN,2
"James Algar,Gaëtan Brizzi",60507228,8e+07,1
James Barrat,NaN,1500000,1
James Bobin,69902407.5,47500000,2
James Bolton,19515.6666666667,420000,3
James C. Strouse,50080,2e+06,3
James Cameron,388773279,1.25e+08,2
"James Cameron,Steven Quale",8968045,NaN,1
James Cox,1056102,8e+06,3
James D.R. Hickox,NaN,NaN,1
James David Walley,NaN,6000,2
James DeMonaco,67971440,6e+06,3
James Dodson,115504,1.4e+07,3
James E. Duff,10544,NaN,1
James Foley,17959004.5,37897500,2
James Franco,NaN,NaN,2
"James Franco,Gus Van Sant",NaN,NaN,2
James Gartner,42643187,NaN,1
James Gray,6618723.16666667,16833333.3333333,6
James Gunn,85387435,47625000,4
James Isaac,6814848,8500000,3
James Ivory,6605120.66666667,1.6e+07,3
James Keach,155005.666666667,NaN,3
James L. Brooks,36128470.5,1e+08,2
James Longley,55057,NaN,1
James Manera,830210,5e+06,1
James Mangold,72786379.8571429,60285714.2857143,7
James Marsh,281326,NaN,2
James McTeigue,48776164.75,43500000,4
James Mottern,52166,2e+06,2
James Ponsoldt,4693306.33333333,1833333.33333333,3
James Quattrochi,NaN,2500000,1
James Rasin,NaN,NaN,1
James Ryan,NaN,6e+06,1
James Seale,NaN,NaN,1
James T. Walker,NaN,NaN,1
James Toback,523277.5,NaN,2
James Vasquez,NaN,70000,2
James Wan,59169183,11333333.3333333,6
